trip_id,customer_id,gender,age,city,route_id,route_name,origin_stop,destination_stop,bus_type,trip_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,distance_km,fare_inr,discount_inr,payment_mode,booking_channel,trip_status,cancellation_reason,rating,occupancy_pct,weather,is_peak_hour,subscription_type,gps_enabled,complaint_raised,trip_year,trip_month,trip_weekday,delay_minutes,is_delayed,net_revenue_inr,age_group
TRP000768,CUST01278,Female,21.0,Mumbai,RTMU005,Lower Parel - Mulund,Lower Parel,Mulund,AC Sleeper,2024-09-21,20:25,20:25,20:58,20:58,10.9,153.0,0.0,UPI,Corporate Portal,Completed,,5.0,84.6,Haze,False,Corporate Plan,True,False,2024,9,Saturday,0.0,False,153.0,18-25
TRP002439,CUST01290,Male,24.0,Hyderabad,RTHY038,HITEC City - Kondapur,HITEC City,Kondapur,AC Seater,2024-08-08,14:50,15:12,15:29,15:51,14.1,127.0,0.0,Debit Card,Kiosk,Delayed-Completed,,,28.3,Heavy Rain,False,Weekly Pass,True,False,2024,8,Thursday,22.0,True,127.0,18-25
TRP000793,CUST01285,Female,18.0,Pune,RTPU012,Aundh - Magarpatta,Aundh,Magarpatta,AC Seater,2024-03-19,08:15,08:15,09:42,09:42,27.6,234.0,19.0,Cash,Corporate Portal,Completed,,3.0,15.4,Cloudy,True,Single Ride,True,False,2024,3,Tuesday,0.0,False,215.0,18-25
TRP002802,CUST00625,Female,23.0,Mumbai,RTMU010,Ghatkopar - Lower Parel,Ghatkopar,Lower Parel,AC Sleeper,2024-12-29,17:45,17:45,18:57,,28.6,310.0,0.0,Debit Card,Corporate Portal,No-show,Customer Request,,68.1,Clear,False,Corporate Plan,True,True,2024,12,Sunday,0.0,False,310.0,18-25
TRP001653,CUST00276,Female,20.0,Bangalore,RTBA024,Hebbal - Electronic City,Hebbal,Electronic City,AC Seater,2024-05-15,13:00,13:40,13:35,14:15,17.8,202.0,0.0,UPI,Corporate Portal,Delayed-Completed,,,23.7,Haze,False,Corporate Plan,True,False,2024,5,Wednesday,40.0,True,202.0,18-25
TRP003149,CUST01233,Male,35.0,Mumbai,RTMU008,Thane West - Mulund,Thane West,Mulund,AC Sleeper,2024-11-11,08:40,08:35,09:42,09:37,23.5,292.0,56.0,UPI,Website,Completed,,5.0,42.5,Clear,True,Single Ride,True,False,2024,11,Monday,-5.0,False,236.0,26-35
TRP002453,CUST00862,Female,35.0,Delhi NCR,RTDE055,Vasant Kunj - Connaught Place,Vasant Kunj,Connaught Place,AC Sleeper,2024-03-01,09:20,09:25,09:42,09:47,8.4,98.0,0.0,Cash,Mobile App,Completed,,2.0,67.7,Haze,True,Single Ride,True,False,2024,3,Friday,5.0,False,98.0,26-35
TRP003148,CUST00421,Female,40.0,Mumbai,RTMU001,Ghatkopar - Vashi,Ghatkopar,Vashi,AC Sleeper,2024-03-26,19:40,19:40,21:21,21:21,32.5,471.0,0.0,Debit Card,Corporate Portal,Completed,,4.0,83.3,Haze,True,Single Ride,False,False,2024,3,Tuesday,0.0,False,471.0,36-45
TRP000788,CUST01204,Male,46.0,Bangalore,RTBA022,HSR Layout - Bannerghatta Road,HSR Layout,Bannerghatta Road,AC Seater,2024-11-20,20:50,20:50,22:53,,40.7,343.0,0.0,UPI,Website,No-show,Customer Request,,23.4,Rain,True,Weekly Pass,True,False,2024,11,Wednesday,0.0,False,343.0,46-60
TRP001583,CUST00520,Male,37.0,Delhi NCR,RTDE051,Vasant Kunj - Saket,Vasant Kunj,Saket,Premium AC,2024-09-29,12:15,12:15,13:17,13:17,25.7,361.0,0.0,Cash,Corporate Portal,Completed,,4.0,88.6,Cloudy,False,Single Ride,True,False,2024,9,Sunday,0.0,False,361.0,36-45
